instance,customers,stations,method,status,objective,runtime,mci_candidates,mci_cuts_added,node_count,mip_gap,paper_objective,relative_gap_to_paper
cluster_corner_n12_p3,12,3,paper_branch_price,Optimal,585.4438611611823,0.07889280002564192,,,,,585.4438611611823,0.0
cluster_corner_n12_p3,12,3,branch_cut_mci,Optimal,585.443859738846,1.181914400018286,56.0,24.0,6590.0,0.0,585.4438611611823,0.0
random_center_n06_p2,6,2,paper_branch_price,Optimal,313.2140072626542,0.005841000005602837,,,,,313.2140072626542,0.0
random_center_n06_p2,6,2,branch_cut_mci,Optimal,313.2140072626542,0.006373099982738495,0.0,0.0,1.0,0.0,313.2140072626542,0.0
random_center_n08_p2,8,2,paper_branch_price,Optimal,440.80699628813625,0.006528199999593198,,,,,440.80699628813625,0.0
random_center_n08_p2,8,2,branch_cut_mci,Optimal,440.80699628813625,0.07678639999357983,1.0,0.0,1.0,0.0,440.80699628813625,0.0
random_center_n14_p4,14,4,paper_branch_price,Optimal,359.2375310536722,0.11917029999312945,,,,,359.2375310536722,0.0
random_center_n14_p4,14,4,branch_cut_mci,Optimal,359.2375310536722,0.7727668999868911,3.0,0.0,807.0,0.0,359.2375310536722,0.0
random_corner_n10_p3,10,3,paper_branch_price,Optimal,644.6483534463852,0.009576399985235184,,,,,644.6483534463852,0.0
random_corner_n10_p3,10,3,branch_cut_mci,Optimal,644.6483534463853,0.2969568000116851,0.0,0.0,407.0,0.0,644.6483534463852,0.0
