instance,method,total_demand,facility_demand,small_gv_demand,facility_share,small_gv_share,opened_stations,small_gv_routes,max_small_gvs,large_gv_full_roundtrip_cost,large_gv_charged_cost_phi,large_gv_travel_saving,phi
cluster_corner_n12_p3,paper_branch_price,91.0,16.0,75.0,0.17582417582417584,0.8241758241758241,1,3,5,146.37729060522872,14.637729060522872,131.73956154470585,0.1
cluster_corner_n12_p3,branch_cut_mci,91.0,16.0,75.0,0.17582417582417584,0.8241758241758241,1,3,5,146.37729060522872,14.637729060522872,131.73956154470585,0.1
random_center_n06_p2,paper_branch_price,45.0,19.0,26.0,0.4222222222222222,0.5777777777777777,1,3,5,86.65164891998057,8.665164891998058,77.98648402798251,0.1
random_center_n06_p2,branch_cut_mci,45.0,19.0,26.0,0.4222222222222222,0.5777777777777777,1,3,5,86.65164891998057,8.665164891998058,77.98648402798251,0.1
random_center_n08_p2,paper_branch_price,60.0,0.0,60.0,0.0,1.0,0,5,5,0.0,0.0,0.0,0.1
random_center_n08_p2,branch_cut_mci,60.0,0.0,60.0,0.0,1.0,0,5,5,0.0,0.0,0.0,0.1
random_center_n14_p4,paper_branch_price,128.0,0.0,128.0,0.0,1.0,0,4,5,0.0,0.0,0.0,0.1
random_center_n14_p4,branch_cut_mci,128.0,0.0,128.0,0.0,1.0,0,4,5,0.0,0.0,0.0,0.1
random_corner_n10_p3,paper_branch_price,81.0,18.0,63.0,0.2222222222222222,0.7777777777777778,1,3,5,176.25665651017806,17.62566565101781,158.63099085916025,0.1
random_corner_n10_p3,branch_cut_mci,81.0,18.0,63.0,0.2222222222222222,0.7777777777777778,1,3,5,176.25665651017806,17.62566565101781,158.63099085916025,0.1
